started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2021-07-01 08:06:06.389000+00:00,2021-07-01 08:19:34.852000+00:00,808,183,Waverley Bridge,near the top of the South ramp,55.951980756193535,-3.1918903325579038,349,Orchard Brae House,Outside Orchard Brae House on Queensferry Road,55.95508276879095,-3.2236342639564555
2021-07-01 08:07:47.296000+00:00,2021-07-01 08:35:13.878000+00:00,1646,1024,Meadow Place,End of Meadow Place,55.940237631689435,-3.194640214184801,1024,Meadow Place,End of Meadow Place,55.940237631689435,-3.194640214184801
2021-07-01 08:08:50.330000+00:00,2021-07-01 08:32:41.996000+00:00,1431,249,Fountainbridge,Fountainbridge by Gardner's Crescent,55.94335692764551,-3.2092475016246453,1050,EICC,Outside Edinburgh International Conference Centre,55.94607055533778,-3.2103963310007657
2021-07-01 08:08:57.259000+00:00,2021-07-01 08:26:30.146000+00:00,1052,1744,Morningside Road,"Corner of Morningside Park, beside M&S",55.927985349796536,-3.209749771944871,259,St Andrew Square,North East corner,55.95490573198223,-3.192443756949956
2021-07-01 08:09:58.669000+00:00,2021-07-01 08:26:12.412000+00:00,973,1096,West Crosscauseway,On island next to Buccleuch Street,55.9438359841253,-3.1849514084976818,1748,Colinton Road,Near Napier University Merchiston Campus,55.933416359161036,-3.21239711224257
2021-07-01 08:15:19.056000+00:00,2021-07-01 08:45:59.828000+00:00,1840,1102,Haymarket Station,Haymarket Station,55.94556945067266,-3.21818468327956,1739,Edinburgh Royal Infirmary,Front of new Sick Kids Hospital,55.92135417116336,-3.1369712992544976
2021-07-01 08:18:47.532000+00:00,2021-07-01 08:33:32.481000+00:00,884,1050,EICC,Outside Edinburgh International Conference Centre,55.94607055533778,-3.2103963310007657,1050,EICC,Outside Edinburgh International Conference Centre,55.94607055533778,-3.2103963310007657
2021-07-01 08:19:24.844000+00:00,2021-07-01 08:38:27.416000+00:00,1142,1725,Edinburgh Zoo,"Corstorphine Road, Edinburgh",55.94211534619251,-3.2692867654484417,1725,Edinburgh Zoo,"Corstorphine Road, Edinburgh",55.94211534619251,-3.2692867654484417
2021-07-01 08:21:29.993000+00:00,2021-07-01 08:33:17.989000+00:00,707,1821,Drumsheugh Place,Corner with Drumsheugh Gardens,55.95159412232485,-3.2123542850940225,1745,Scotland Street,Corner with Royal Crescent,55.96037972054591,-3.1954703369027584
2021-07-01 08:38:56.044000+00:00,2021-07-01 08:46:52.820000+00:00,476,1821,Drumsheugh Place,Corner with Drumsheugh Gardens,55.95159412232485,-3.2123542850940225,260,Lauriston Place,near Chalmers Street,55.944771652335476,-3.1972658564195626
2021-07-01 08:41:24.749000+00:00,2021-07-01 08:54:48.987000+00:00,804,1721,Tollcross,Outside Piccolinos off Lauriston Place,55.944248052468346,-3.2031045991104747,1745,Scotland Street,Corner with Royal Crescent,55.96037972054591,-3.1954703369027584
2021-07-01 08:48:02.015000+00:00,2021-07-01 08:55:17.604000+00:00,435,1097,Gladstone Terrace,Corner of Gladstone Terrace and Sciennes Road,55.93796327344498,-3.185021145932069,1721,Tollcross,Outside Piccolinos off Lauriston Place,55.944248052468346,-3.2031045991104747
